"VP_Code","arousal_rating","trials_word.thisIndex","word","code","group","valence_rating","arousal","time"
"HN25DF",4,11,"Häugnung","neu","Control",0,0,"pre"
"HN25DF",2,14,"Enkmitas","emo","Control",-2,2,"pre"
"HN25DF",4,8,"Glühm","neu","Control",0,0,"pre"
"HN25DF",2,0,"Vul","neu","Control",-2,2,"pre"
"AD18MH",3,22,"Bingsemöl","neu","Control",-1,1,"pre"
"AD18MH",4,7,"Ismiprämpf","emo","Control",0,0,"pre"
"AD18MH",5,11,"Häugnung","neu","Control",1,1,"pre"
"AD18MH",6,14,"Enkmitas","emo","Control",2,2,"pre"
"AD18MH",3,12,"Wupforau","emo","Control",-1,1,"pre"
"AD18MH",5,19,"Namistell","neu","Control",1,1,"pre"
"AD18MH",3,29,"Ferandsor","neu","Control",-1,1,"pre"
"AD18MH",5,15,"Mege","emo","Control",1,1,"pre"
"AD18MH",5,8,"Glühm","neu","Control",1,1,"pre"
"AD18MH",6,16,"Weforshank","neu","Control",2,2,"pre"
"AD18MH",6,1,"Neif","emo","Control",2,2,"pre"
"AD18MH",3,20,"Struk","neu","Control",-1,1,"pre"
"AD18MH",5,26,"Faube","neu","Control",1,1,"pre"
"AD18MH",5,2,"Zimerhubst","emo","Control",1,1,"pre"
"AD18MH",6,27,"Wunicher","emo","Control",2,2,"pre"
"AD18MH",4,17,"Plüpp","neu","Control",0,0,"pre"
"AD18MH",5,24,"Troff","neu","Control",1,1,"pre"
"AD18MH",5,6,"Muschürdur","emo","Control",1,1,"pre"
"AD18MH",3,23,"Iberletsch","neu","Control",-1,1,"pre"
"AD18MH",6,28,"Bisknirgo","emo","Control",2,2,"pre"
"AD18MH",6,3,"Zwelde","emo","Control",2,2,"pre"
"AD18MH",6,0,"Vul","neu","Control",2,2,"pre"
"AD18MH",6,13,"Bismirbiel","emo","Control",2,2,"pre"
"AD18MH",5,25,"Odef","neu","Control",1,1,"pre"
"AD18MH",6,18,"Skibt","neu","Control",2,2,"pre"
"AD18MH",6,21,"Mölauzegt","neu","Control",2,2,"pre"
"AD18MH",7,5,"Preier","emo","Control",3,3,"pre"
"AD18MH",7,4,"Herklögen","emo","Control",3,3,"pre"
"AD18MH",5,9,"Rugliebast","emo","Control",1,1,"pre"
"AD18MH",5,10,"Wumeizauch","emo","Control",1,1,"pre"
"RG9DF",4,17,"Plüpp","neu","Control",0,0,"pre"
"RG9DF",5,11,"Häugnung","neu","Control",1,1,"pre"
"RG9DF",5,28,"Bisknirgo","emo","Control",1,1,"pre"
"RG9DF",4,16,"Weforshank","neu","Control",0,0,"pre"
"RG9DF",4,26,"Faube","neu","Control",0,0,"pre"
"RG9DF",6,3,"Zwelde","emo","Control",2,2,"pre"
"RG9DF",6,12,"Wupforau","emo","Control",2,2,"pre"
"RG9DF",5,15,"Mege","emo","Control",1,1,"pre"
"RG9DF",2,29,"Ferandsor","neu","Control",-2,2,"pre"
"RG9DF",1,27,"Wunicher","emo","Control",-3,3,"pre"
"RG9DF",7,1,"Neif","emo","Control",3,3,"pre"
"RG9DF",4,22,"Bingsemöl","neu","Control",0,0,"pre"
"RG9DF",3,24,"Troff","neu","Control",-1,1,"pre"
"RG9DF",3,5,"Preier","emo","Control",-1,1,"pre"
"RG9DF",7,4,"Herklögen","emo","Control",3,3,"pre"
"RG9DF",1,6,"Muschürdur","emo","Control",-3,3,"pre"
"RG9DF",6,7,"Ismiprämpf","emo","Control",2,2,"pre"
"RG9DF",2,2,"Zimerhubst","emo","Control",-2,2,"pre"
"RG9DF",2,9,"Rugliebast","emo","Control",-2,2,"pre"
"RG9DF",5,18,"Skibt","neu","Control",1,1,"pre"
"RG9DF",6,20,"Struk","neu","Control",2,2,"pre"
"RG9DF",4,14,"Enkmitas","emo","Control",0,0,"pre"
"RG9DF",5,21,"Mölauzegt","neu","Control",1,1,"pre"
"RG9DF",5,23,"Iberletsch","neu","Control",1,1,"pre"
"RG9DF",2,10,"Wumeizauch","emo","Control",-2,2,"pre"
"RG9DF",6,25,"Odef","neu","Control",2,2,"pre"
"RG9DF",5,19,"Namistell","neu","Control",1,1,"pre"
"RG9DF",5,8,"Glühm","neu","Control",1,1,"pre"
"RG9DF",1,13,"Bismirbiel","emo","Control",-3,3,"pre"
"RG9DF",3,0,"Vul","neu","Control",-1,1,"pre"
"BR11ST",2,14,"Enkmitas","emo","Control",-2,2,"pre"
"BR11ST",4,13,"Bismirbiel","emo","Control",0,0,"pre"
"BR11ST",5,20,"Struk","neu","Control",1,1,"pre"
"BR11ST",6,17,"Plüpp","neu","Control",2,2,"pre"
"BR11ST",5,24,"Troff","neu","Control",1,1,"pre"
"BR11ST",4,12,"Wupforau","emo","Control",0,0,"pre"
"BR11ST",5,11,"Häugnung","neu","Control",1,1,"pre"
